,43,42,41,44,40,45,46,47,48,49,50,51,52,53,60,59,61,62,58,63,64,65,56,55,57,54,68,67,66,73,72,74,71,70,69
PRES16,20415.0,11322.0,3522.0,24497.0,845.0,19950.0,10406.0,6007.0,2232.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AG18,,,,,,,3218.0,10257.0,19968.0,24753.0,20680.0,12898.0,5711.0,1310.0,,,,,,,,,,,,,,,,,,,,,
SEN20,,,,,,,2802.0,8584.0,19035.0,23583.0,22719.0,13039.0,6387.0,2370.0,,,,,,,,,,,,,,,,,,,,,
PRES20,,,,,,,,,1922.0,5283.0,14157.0,22161.0,24547.0,16798.0,,,,,,,,,1281.0,4381.0,,9034.0,,,,,,,,,
MSU22,,,,,,,,,1420.0,4996.0,12649.0,19748.0,24163.0,19677.0,,,,,,,,,1591.0,4329.0,,10860.0,,,,,,,,,
WSU22,,,,,,,,,,,3327.0,11106.0,20145.0,24861.0,,,,,,,,,5310.0,12396.0,1782.0,20000.0,,,,,,,,,
BOE22,,,,,,,,,,,,3934.0,10649.0,20242.0,,,,,1235.0,,,,11098.0,20756.0,4983.0,26293.0,,,,,,,,,
UOM22,,,,,,,,,,,,2892.0,9059.0,18655.0,,,,,2233.0,,,,14156.0,20465.0,6896.0,24628.0,,,,,,,,,
SEN18,,,,,,,,,,,,,,2485.0,4741.0,11792.0,1611.0,,19154.0,,,,18989.0,12786.0,21142.0,6249.0,,,,,,,,,
GOV18,,,,,,,,,,,,,,,16438.0,7659.0,22925.0,22558.0,3166.0,15499.0,7459.0,3047.0,,,,,,,,,,,,,
SOS18,,,,,,,,,,,,,,,24004.0,19530.0,20400.0,11946.0,10861.0,5501.0,1893.0,,,,4204.0,,,,,,,,,,
AG22,,,,,,,,,,,,,,,12163.0,4596.0,20688.0,25509.0,1656.0,22100.0,10030.0,2449.0,,,,,,,,,,,,,
GOV22,,,,,,,,,,,,,,,,,1932.0,6434.0,,14002.0,21098.0,22174.0,,,,,4007.0,10522.0,18231.0,,,,,,
SOS22,,,,,,,,,,,,,,,,,,,,,,,,,,,13155.0,7187.0,1832.0,4908.0,10387.0,1730.0,18616.0,21711.0,18975.0
