,44,43,42,41,40,45,46,47,48,50,51,49,52,53,61,60,59,62,63,64,65,58,66,56,57,55,54,67,68,69,70,71,72,73,74
PRES16,22184.0,19993.0,12857.0,4958.0,2286.0,20219.0,11544.0,4062.0,1108.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AG18,,,,,,1194.0,3499.0,9613.0,17582.0,21783.0,13342.0,22392.0,6710.0,3021.0,,,,,,,,,,,,,,,,,,,,,
SEN20,,,,,,933.0,3935.0,9716.0,18458.0,21031.0,13924.0,22415.0,6514.0,2521.0,,,,,,,,,,,,,,,,,,,,,
PRES20,,,,,,,,,1763.0,10288.0,16239.0,5205.0,21157.0,21449.0,,,,,,,,,,2832.0,,6337.0,13245.0,,,,,,,,
MSU22,,,,,,,,,1249.0,7242.0,14642.0,3673.0,20568.0,24409.0,,,,,,,,,,2163.0,,8455.0,16481.0,,,,,,,,
BOE22,,,,,,,,,,1086.0,2951.0,,8547.0,15834.0,,,,,,,,2117.0,,16290.0,8112.0,23015.0,21450.0,,,,,,,,
WSU22,,,,,,,,,,3088.0,7078.0,1287.0,15050.0,22620.0,,,,,,,,,,7216.0,2200.0,16675.0,23846.0,,,,,,,,
UOM22,,,,,,,,,,,2629.0,,7148.0,14219.0,,,,,,,,3338.0,,19512.0,9557.0,22316.0,20044.0,,,,,,,,
SEN18,,,,,,,,,,,,,,1263.0,1871.0,6327.0,12826.0,,,,,21198.0,,19114.0,22388.0,10283.0,4041.0,,,,,,,,
GOV18,,,,,,,,,,,,,,,19888.0,13274.0,7070.0,24403.0,17217.0,9321.0,3665.0,2734.0,1083.0,,,,,,,,,,,,
SOS18,,,,,,,,,,,,,,,24135.0,21395.0,13728.0,16615.0,8940.0,2698.0,,7885.0,,994.0,2542.0,,,,,,,,,,
AG22,,,,,,,,,,,,,,,19198.0,13044.0,5108.0,22802.0,20516.0,10664.0,5498.0,1110.0,1430.0,,,,,,,,,,,,
GOV22,,,,,,,,,,,,,,,1996.0,,,8985.0,16251.0,21742.0,21819.0,,15249.0,,,,,8527.0,3742.0,955.0,,,,,
SOS22,,,,,,,,,,,,,,,,,,,,,,,1772.0,,,,,7068.0,12653.0,18528.0,21645.0,18514.0,11317.0,5306.0,1714.0
