,45,46,47,44,43,42,41,48,53,52,51,54,50,49,61,62,60,63,64,65,66,59,58,57,56,55,67,68,69,70,71,72,73,74
PRES16,21289.0,15491.0,6920.0,23895.0,16970.0,9285.0,3057.0,2143.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AG18,,2002.0,6161.0,,,,,13326.0,3614.0,10372.0,18471.0,1243.0,24113.0,20029.0,,,,,,,,,,,,,,,,,,,,
SEN20,,1581.0,4831.0,,,,,13830.0,3337.0,8640.0,16970.0,,26268.0,23522.0,,,,,,,,,,,,,,,,,,,,
PRES20,,,,,,,,2090.0,19155.0,23415.0,22659.0,8753.0,14433.0,6289.0,,,,,,,,,,,,1997.0,,,,,,,,
MSU22,,,,,,,,939.0,21531.0,23143.0,19338.0,13837.0,11258.0,3466.0,,,,,,,,,,,1463.0,4345.0,,,,,,,,
SEN18,,,,,,,,,2287.0,571.0,,5295.0,,,2130.0,,6167.0,,,,,12744.0,19097.0,20125.0,17762.0,12595.0,,,,,,,,
BOE22,,,,,,,,,18433.0,10557.0,6627.0,25063.0,1660.0,,,,,,,,,,1189.0,4126.0,10794.0,20677.0,,,,,,,,
UOM22,,,,,,,,,16370.0,10076.0,4728.0,22361.0,1076.0,,,,,,,,,,1854.0,6551.0,12827.0,23391.0,,,,,,,,
WSU22,,,,,,,,,23278.0,17621.0,11868.0,22467.0,4541.0,966.0,,,,,,,,,,1267.0,4867.0,12373.0,,,,,,,,
GOV18,,,,,,,,,,,,,,,18650.0,21304.0,11846.0,20244.0,14202.0,4665.0,2624.0,4943.0,900.0,,,,,,,,,,,
SOS18,,,,,,,,,,,,,,,20964.0,15893.0,20630.0,8922.0,4318.0,1464.0,,15433.0,8530.0,2936.0,,,,,,,,,,
AG22,,,,,,,,,,,,,,,17981.0,22958.0,14599.0,16563.0,10833.0,5522.0,1823.0,7093.0,1664.0,,,,,,,,,,,
GOV22,,,,,,,,,,,,,,,,2376.0,,8153.0,15192.0,22300.0,25052.0,,,,,,16179.0,7425.0,2162.0,,,,,
SOS22,,,,,,,,,,,,,,,,,,,,,707.0,,,,,,3550.0,9265.0,16163.0,21552.0,23318.0,14376.0,7388.0,2406.0
