,16,15,14,17,18,19,20,21,22,23,24,25,26,27
PRES16,37046.0,30967.0,9068.0,17473.0,4013.0,,,,,,,,,
AG18,22918.0,5865.0,,36831.0,24249.0,7788.0,1851.0,,,,,,,
SEN18,984.0,,,7518.0,23765.0,32855.0,24557.0,8712.0,1533.0,,,,,
PRES20,18346.0,3762.0,,34332.0,29420.0,11623.0,2154.0,,,,,,,
SEN20,25270.0,6990.0,,34476.0,22006.0,8471.0,2042.0,,,,,,,
BOE22,7491.0,,,24572.0,34007.0,22261.0,9081.0,1721.0,,,,,,
MSU22,18237.0,3861.0,,36068.0,26071.0,12111.0,3003.0,,,,,,,
UOM22,6429.0,,,22976.0,34578.0,22921.0,10115.0,2102.0,,,,,,
WSU22,11803.0,1619.0,,30260.0,31591.0,17466.0,6147.0,1033.0,,,,,,
GOV18,,,,,2527.0,11342.0,27895.0,32313.0,19349.0,5438.0,,,,
SOS18,,,,,1916.0,10002.0,26320.0,32628.0,21130.0,6975.0,,,,
AG22,,,,,1873.0,8820.0,26935.0,36129.0,19759.0,5260.0,,,,
GOV22,,,,,,2610.0,13442.0,33326.0,30144.0,15530.0,4251.0,,,
SOS22,,,,,,,,,3011.0,15706.0,30718.0,30367.0,15188.0,4000.0
