,Split Counties,Split Municipalities,Cut Edges,"# VRA Effective (44, 50)","# VRA Effective (40, 50)","# VRA Effective (40, 48)",Avg. OEG,Avg. SEG,Avg. MM,Avg. LM,Mean Disprop.,# Competitive Contests,# Dem. Seats in PRES16,OEG Index 0,SEG Index 0,MM Index 0,LM Index 0,Disprop. Index 0,Dem. Seats Index 0,OEG Index 1,SEG Index 1,MM Index 1,LM Index 1,Disprop. Index 1,Dem. Seats Index 1,OEG Index 3,SEG Index 3,MM Index 3,LM Index 3,Disprop. Index 3,Dem. Seats Index 3
Cardinal,31,21,1325,3,4,4,-0.024,-0.004,-0.014,0.591,0.324,66,17,0.003,0.02,-0.019,0.594,0.049,22,-0.0,0.016,-0.019,0.591,0.048,22,-0.0,0.017,-0.018,0.592,0.048,22
Crane,31,19,1298,3,3,3,-0.018,0.003,-0.015,0.593,0.429,70,18,0.003,0.02,-0.015,0.594,0.049,22,-0.0,0.016,-0.015,0.592,0.048,22,-0.001,0.017,-0.014,0.592,0.048,22
Curry,31,26,1355,3,3,3,-0.031,-0.01,-0.023,0.59,0.245,68,18,0.002,0.02,-0.028,0.594,0.049,22,-0.001,0.016,-0.029,0.591,0.048,22,-0.001,0.017,-0.028,0.591,0.048,22
Dove,31,26,1324,3,4,4,-0.034,-0.014,-0.018,0.591,0.192,66,17,-0.025,-0.006,-0.017,0.591,0.023,21,-0.028,-0.01,-0.017,0.588,0.021,21,-0.028,-0.01,-0.017,0.588,0.022,21
Enacted SD 22,31,29,1355,1,4,4,-0.018,0.003,-0.01,0.592,0.429,63,18,0.002,0.02,-0.012,0.594,0.049,22,-0.001,0.016,-0.013,0.591,0.048,22,-0.001,0.017,-0.012,0.591,0.048,22
Finch v2,31,21,1342,4,4,4,-0.024,-0.004,-0.015,0.591,0.324,66,17,0.003,0.02,-0.02,0.594,0.049,22,-0.0,0.016,-0.019,0.591,0.048,22,-0.0,0.017,-0.019,0.592,0.048,22
Heron,31,27,1354,4,4,4,-0.006,0.014,0.001,0.595,0.587,54,18,0.002,0.02,0.0,0.594,0.049,22,-0.001,0.016,0.0,0.591,0.048,22,-0.001,0.017,0.001,0.591,0.048,22
Kellom,31,19,1344,4,4,4,-0.01,0.011,-0.008,0.595,0.534,59,18,0.003,0.02,-0.009,0.595,0.049,22,-0.001,0.016,-0.009,0.593,0.048,22,-0.001,0.017,-0.009,0.593,0.048,22
Lange,31,26,1364,2,3,3,-0.033,-0.012,-0.023,0.59,0.219,75,17,0.002,0.02,-0.028,0.594,0.049,22,-0.001,0.016,-0.029,0.591,0.048,22,-0.001,0.017,-0.028,0.591,0.048,22
Orton,31,21,1290,3,3,3,-0.021,-0.001,-0.02,0.591,0.376,69,18,0.003,0.02,-0.022,0.593,0.049,22,0.0,0.016,-0.022,0.591,0.048,22,0.0,0.017,-0.022,0.591,0.048,22
Starling v3,31,26,1343,3,3,3,-0.021,-0.001,-0.013,0.592,0.376,59,18,-0.024,-0.006,-0.014,0.589,0.023,21,-0.027,-0.01,-0.014,0.587,0.021,21,-0.027,-0.01,-0.014,0.587,0.022,21
Szetela,31,21,1312,3,4,4,-0.012,0.009,-0.001,0.595,0.508,54,19,0.003,0.02,0.001,0.595,0.049,22,-0.0,0.016,0.0,0.593,0.048,22,-0.0,0.017,0.0,0.593,0.048,22
Wagner,31,22,1322,3,3,3,-0.031,-0.01,-0.02,0.59,0.245,67,17,-0.024,-0.006,-0.022,0.589,0.023,21,-0.027,-0.01,-0.023,0.587,0.021,21,-0.027,-0.01,-0.023,0.587,0.022,21
