,Split Counties,Split Municipalities,Cut Edges,"# VRA Effective (44, 50)","# VRA Effective (40, 50)","# VRA Effective (40, 48)",Avg. OEG,Avg. SEG,Avg. MM,Avg. LM,Mean Disprop.,# Competitive Contests,# Dem. Seats in PRES16,OEG Index 0,SEG Index 0,MM Index 0,LM Index 0,Disprop. Index 0,OEG Index 1,SEG Index 1,MM Index 1,LM Index 1,Disprop. Index 1,OEG Index 3,SEG Index 3,MM Index 3,LM Index 3,Disprop. Index 3
HD Daisy 2,48,88,2666,9,11,11,-0.026,-0.007,-0.021,0.6,0.295,247,45,-0.005,0.014,-0.023,0.602,0.043,0.011,0.028,-0.022,0.604,0.06,0.011,0.029,-0.022,0.604,0.06
HD Enacted 22,48,87,2665,8,13,13,-0.025,-0.006,-0.02,0.6,0.304,245,46,-0.005,0.014,-0.022,0.602,0.043,0.011,0.028,-0.021,0.604,0.06,0.011,0.029,-0.021,0.604,0.06
HD Gingles,64,123,2491,16,16,16,-0.069,-0.048,-0.037,0.591,-0.287,191,46,-0.069,-0.05,-0.039,0.589,-0.02,-0.063,-0.045,-0.038,0.588,-0.013,-0.063,-0.044,-0.038,0.588,-0.013
HD Remedial (Motown Sound),48,86,2575,10,12,12,-0.026,-0.007,-0.021,0.6,0.295,248,45,-0.005,0.014,-0.023,0.602,0.043,0.011,0.028,-0.022,0.604,0.06,0.011,0.029,-0.022,0.604,0.06
HD Trillium,48,86,2615,10,11,11,-0.025,-0.006,-0.022,0.6,0.304,246,46,-0.005,0.014,-0.023,0.602,0.043,0.011,0.028,-0.023,0.604,0.06,0.011,0.029,-0.023,0.604,0.06
HD Water Lily,48,86,2563,9,10,10,-0.028,-0.008,-0.023,0.6,0.277,253,45,-0.005,0.014,-0.024,0.602,0.043,0.011,0.028,-0.023,0.604,0.06,0.011,0.029,-0.023,0.604,0.06
SD Cherry v2,28,28,1368,1,4,4,-0.019,0.003,-0.01,0.591,0.429,64,18,0.001,0.02,-0.012,0.592,0.049,-0.002,0.016,-0.013,0.589,0.048,-0.002,0.017,-0.012,0.59,0.048
SD Enacted 22,31,29,1355,1,4,4,-0.018,0.003,-0.01,0.592,0.429,63,18,0.002,0.02,-0.012,0.594,0.049,-0.001,0.016,-0.013,0.591,0.048,-0.001,0.017,-0.012,0.591,0.048
SD Gingles,22,62,1360,6,6,6,-0.067,-0.046,-0.036,0.577,-0.255,84,15,-0.052,-0.033,-0.038,0.577,-0.003,-0.055,-0.036,-0.037,0.575,-0.005,-0.055,-0.036,-0.037,0.575,-0.005
SD Linden,31,29,1353,1,4,4,-0.018,0.003,-0.01,0.592,0.429,63,18,0.002,0.02,-0.012,0.594,0.049,-0.001,0.016,-0.013,0.591,0.048,-0.001,0.017,-0.012,0.591,0.048
SD Palm,27,30,1319,1,4,4,-0.042,-0.02,-0.022,0.588,0.113,70,17,-0.025,-0.006,-0.025,0.588,0.023,-0.028,-0.01,-0.026,0.586,0.021,-0.029,-0.01,-0.025,0.586,0.022
CD Apple v2,18,10,710,0,2,2,-0.002,0.011,-0.017,0.585,0.536,27,6,0.047,0.056,-0.018,0.592,0.086,0.043,0.053,-0.018,0.59,0.084,0.043,0.053,-0.018,0.59,0.084
CD Birch v2,13,10,685,0,2,2,-0.021,-0.011,-0.017,0.571,0.229,31,6,-0.029,-0.02,-0.016,0.568,0.009,-0.032,-0.024,-0.016,0.565,0.007,-0.032,-0.024,-0.016,0.566,0.007
CD Enacted 22,14,12,696,1,2,2,0.022,0.033,-0.009,0.585,0.844,39,6,0.049,0.056,-0.008,0.587,0.086,0.045,0.053,-0.007,0.585,0.084,0.045,0.053,-0.006,0.585,0.084
CD Chestnut,14,12,700,1,2,2,0.022,0.033,-0.009,0.585,0.844,39,6,0.049,0.056,-0.008,0.588,0.086,0.045,0.053,-0.007,0.585,0.084,0.045,0.053,-0.006,0.585,0.084
